ENTIDAD,MUNICIPIO,POBTOT,POB_AFRO,POB_AFRO_F,POB_AFRO_M
1,1,1016,10,7,3
1,1,1364,15,9,6
1,1,5364,23,9,14
1,1,1644,47,22,25
1,1,529,5,2,3
1,1,2278,129,57,72
1,1,1241,18,11,7
1,1,754,1,0,1
1,1,961,5,3,2
1,1,1090,2,0,2
1,1,1045,15,6,9
1,1,816,2,0,2
1,1,1595,6,2,4
1,1,809,8,5,3
1,1,890,6,4,2
1,1,11762,70,26,44
1,1,974,3,3,0
1,1,852,0,0,0
1,1,755,23,12,11
1,1,734,3,2,1
1,1,802,0,0,0
1,1,1017,15,9,6
1,1,758,29,18,11
1,1,716,26,14,12
1,1,589,9,4,5
1,1,640,1,1,0
1,1,706,7,5,2
1,1,1323,8,3,5
1,1,678,26,20,6
1,1,1140,17,11,6
1,1,641,5,2,3
1,1,610,1,1,0
1,1,543,0,0,0
1,1,790,9,4,5
1,1,754,4,1,3
1,1,667,5,3,2
1,1,1255,1,1,0
1,1,1196,24,15,9
1,1,1230,3,2,1
1,1,1025,5,0,5
1,1,1158,10,6,4
1,1,1015,0,0,0
1,1,940,2,0,2
1,1,1303,33,19,14
1,1,1309,5,1,4
1,1,1192,2,1,1
1,1,7636,137,75,62
1,1,2865,29,15,14
1,1,3138,115,57,58
1,1,1365,4,2,2
1,1,1409,10,5,5
1,1,1194,12,5,7
1,1,1302,4,3,1
1,1,1021,12,7,5
1,1,1122,2,0,2
1,1,1224,429,222,207
1,1,1169,20,10,10
1,1,1245,9,4,5
1,1,1516,1,0,1
1,1,1314,651,326,325
1,1,5475,4,0,4
1,1,4614,9,2,7
1,1,4058,3,1,2
1,1,8662,76,35,41
1,1,2824,4,3,1
1,1,17162,270,135,135
1,1,11295,194,89,105
1,1,2161,4,1,3
1,1,15507,153,81,72
1,1,8387,74,38,36
1,1,3449,41,16,25
1,1,1252,46,27,19
1,1,3416,6,2,4
1,1,7197,216,89,127
1,1,3376,39,21,18
1,1,2989,5,1,4
1,1,2880,2,2,0
1,1,1047,0,0,0
1,1,1493,2,1,1
1,1,1441,1,1,0
1,2,2712,8,1,7
1,2,2539,80,39,41
1,2,2831,3,0,3
1,2,3122,0,0,0
1,2,2552,1,0,1
1,2,4855,18,12,6
1,2,3866,11,8,3
1,2,3096,21,9,12
1,2,2601,10,7,3
1,2,3791,9,6,3
1,2,2542,4,2,2
1,2,3480,11,5,6
1,2,3795,27,17,10
1,2,2142,3,0,3
1,2,3494,16,10,6
1,2,2257,3,0,3
1,2,1926,1,0,1
1,3,2038,5,3,2
1,3,3476,5,3,2
1,3,2014,28,12,16
1,3,4762,19,9,10
1,3,1209,5,1,4
1,3,842,0,0,0
1,3,1948,31,15,16
1,3,2608,31,13,18
1,3,2551,18,11,7
1,3,507,1,0,1
1,3,339,11,5,6
1,3,828,3,0,3
1,3,2125,10,3,7
1,3,522,1,0,1
1,3,1446,6,3,3
1,3,1467,9,3,6
1,3,1307,3,1,2
1,3,2555,2,1,1
1,3,1249,0,0,0
1,3,2649,52,23,29
1,3,2831,4,1,3
1,3,1826,3,0,3
1,3,535,0,0,0
1,3,1572,0,0,0
1,3,2376,3,0,3
1,3,1493,1,1,0
1,3,1881,1,1,0
1,3,3356,5,2,3
1,3,2320,2,0,2
1,3,1819,5,0,5
1,3,1889,2,1,1
1,4,4390,396,214,182
1,4,3070,1221,622,599
