ENTIDAD,MUNICIPIO,POBTOT,POB_AFRO,POB_AFRO_F,POB_AFRO_M
8,40,819,0,0,0
8,40,2140,38,16,22
8,40,1155,8,5,3
8,40,592,2,0,2
8,40,758,2,0,2
8,40,721,5,5,0
8,40,476,2,1,1
8,40,477,0,0,0
8,40,444,5,4,1
8,40,573,7,6,1
8,40,488,12,8,4
8,40,1075,22,11,11
8,40,2340,5,1,4
8,40,662,3,0,3
8,40,257,1,1,0
8,40,808,1,1,0
8,40,934,7,3,4
8,40,284,1,0,1
8,40,281,0,0,0
8,40,263,0,0,0
8,40,204,1,1,0
8,40,193,0,0,0
8,40,386,1,0,1
8,40,331,4,3,1
8,40,335,0,0,0
8,40,644,4,3,1
8,40,852,13,5,8
8,40,847,4,2,2
8,40,382,0,0,0
8,40,248,8,4,4
8,40,300,0,0,0
8,40,250,0,0,0
8,40,610,0,0,0
8,40,483,1,0,1
8,40,74,0,0,0
8,40,9,0,0,0
8,40,668,0,0,0
8,40,370,0,0,0
8,40,114,0,0,0
8,40,27,8,4,4
8,40,336,0,0,0
8,40,439,5,4,1
8,40,312,2,1,1
8,40,40,0,0,0
8,40,313,4,2,2
8,40,311,0,0,0
8,40,526,12,7,5
8,41,795,1,1,0
8,41,86,0,0,0
8,41,160,0,0,0
8,41,51,0,0,0
8,41,112,0,0,0
8,42,424,1,0,1
8,42,421,1,1,0
8,42,120,0,0,0
8,42,66,0,0,0
8,42,124,0,0,0
8,43,174,0,0,0
8,43,1056,3,1,2
8,43,469,0,0,0
8,43,310,0,0,0
8,43,123,0,0,0
8,43,315,1,0,1
8,43,368,2,0,2
8,44,1943,0,0,0
8,44,906,0,0,0
8,44,561,1,0,1
8,44,157,0,0,0
8,44,171,0,0,0
8,44,92,0,0,0
8,44,287,0,0,0
8,44,196,0,0,0
8,45,3146,20,10,10
8,45,1568,12,4,8
8,45,2486,18,6,12
8,45,3267,67,35,32
8,45,1959,19,11,8
8,45,577,2,0,2
8,45,1745,25,10,15
8,45,468,1,0,1
8,45,620,0,0,0
8,45,599,2,0,2
8,45,539,4,2,2
8,45,594,4,3,1
8,45,1003,10,4,6
8,45,613,5,3,2
8,45,2129,9,2,7
8,45,1376,2,1,1
8,45,1155,0,0,0
8,45,1187,5,3,2
8,45,492,1,0,1
8,45,1502,4,2,2
8,45,1930,3,2,1
8,45,1872,5,3,2
8,45,363,52,29,23
8,45,1434,0,0,0
8,45,816,1,0,1
8,45,579,4,0,4
8,45,1017,5,3,2
8,45,874,3,1,2
8,45,931,13,7,6
8,45,701,1,0,1
8,45,1156,6,2,4
8,45,816,2,1,1
8,45,421,1,1,0
8,45,1481,4,2,2
8,45,3113,22,9,13
8,46,1901,7,3,4
8,46,324,1,0,1
8,46,1070,6,2,4
8,46,751,3,1,2
8,46,566,1,0,1
8,46,741,0,0,0
8,46,1444,3,2,1
8,46,2097,2,1,1
8,47,1920,8,3,5
8,47,156,0,0,0
8,47,413,1,0,1
8,47,32,0,0,0
8,47,1050,3,3,0
8,47,378,0,0,0
8,47,109,0,0,0
8,47,689,0,0,0
8,48,809,2,1,1
8,48,454,2,0,2
8,48,115,2,0,2
8,48,991,3,1,2
8,48,988,8,2,6
8,48,328,5,2,3
8,48,364,3,3,0
8,48,503,2,2,0
8,48,501,0,0,0
8,48,579,2,1,1
8,48,829,1,1,0
8,48,1072,3,2,1
8,48,1323,7,5,2
8,48,912,6,2,4
8,48,716,0,0,0
8,48,1264,0,0,0
8,48,86,1,0,1
8,48,117,0,0,0
8,48,341,1,1,0
8,48,1386,3,1,2
8,48,102,3,0,3
8,48,106,1,1,0
8,48,297,0,0,0
8,48,1628,12,7,5
8,48,248,0,0,0
8,48,194,0,0,0
8,48,1046,9,6,3
8,48,90,0,0,0
8,48,591,0,0,0
8,48,251,0,0,0
8,48,175,0,0,0
8,48,150,0,0,0
8,48,322,0,0,0
8,48,94,0,0,0
8,48,314,0,0,0
8,48,371,0,0,0
8,48,629,0,0,0
8,48,243,0,0,0
8,48,67,0,0,0
8,48,369,0,0,0
8,48,401,5,3,2
8,48,193,1,0,1
8,48,215,2,2,0
8,48,536,4,2,2
8,48,383,3,1,2
8,49,1749,8,2,6
8,49,101,0,0,0
8,49,638,0,0,0
8,49,525,1,1,0
8,49,584,0,0,0
8,50,1709,8,6,2
8,50,906,5,2,3
8,50,5831,141,64,77
8,50,926,6,2,4
8,50,657,4,1,3
8,50,1106,16,10,6
8,50,434,0,0,0
8,50,264,0,0,0
8,50,293,1,0,1
8,50,449,7,4,3
8,50,797,0,0,0
8,50,1890,22,8,14
8,50,659,4,3,1
8,50,575,6,4,2
8,50,485,4,2,2
8,50,360,0,0,0
8,50,459,1,0,1
8,50,603,0,0,0
8,50,1490,25,14,11
8,50,1166,84,44,40
8,50,1432,239,133,106
8,50,563,65,34,31
8,50,645,252,125,127
8,50,655,6,4,2
8,50,551,5,2,3
8,50,443,2,2,0
8,50,687,5,3,2
8,50,637,1,0,1
8,50,474,1,0,1
8,50,545,1,0,1
8,50,780,3,1,2
8,50,514,5,3,2
8,50,600,6,2,4
8,50,1161,1,0,1
8,50,5407,28,9,19
8,50,933,3,3,0
8,50,704,5,1,4
8,50,432,1,0,1
8,50,469,14,6,8
8,50,610,14,6,8
8,50,418,12,6,6
8,50,1149,9,5,4
8,50,1251,3,1,2
8,50,1037,3,3,0
8,50,4088,24,12,12
8,50,497,2,0,2
8,50,634,0,0,0
8,50,476,0,0,0
8,50,1204,6,4,2
8,50,821,75,48,27
8,50,2732,15,7,8
8,50,1163,13,9,4
8,50,2560,1,1,0
8,50,310,2,1,1
8,50,1315,5,1,4
8,50,589,0,0,0
8,50,952,2,1,1
8,50,581,2,1,1
8,50,878,4,1,3
8,50,986,0,0,0
8,50,629,1,1,0
8,50,1004,0,0,0
8,50,766,119,55,64
8,50,316,4,2,2
8,51,504,0,0,0
8,51,125,2,1,1
8,51,338,10,6,4
8,51,209,0,0,0
8,51,234,1,0,1
8,51,2433,37,20,17
8,51,1470,42,19,23
8,51,537,0,0,0
8,51,16,0,0,0
8,51,530,0,0,0
8,51,785,1,0,1
8,51,407,2,0,2
8,51,370,0,0,0
8,51,143,0,0,0
8,52,651,8,2,6
8,52,134,0,0,0
8,52,831,14,4,10
8,52,668,4,3,1
8,52,904,10,6,4
8,52,989,13,7,6
8,52,1518,11,7,4
8,52,367,2,2,0
8,52,518,1,0,1
8,52,686,12,7,5
8,52,1015,91,40,51
8,52,1706,19,10,9
8,52,1082,1,1,0
8,52,1079,81,42,39
8,52,1744,28,12,16
8,52,3248,69,40,29
8,52,3106,19,5,14
8,52,53,0,0,0
8,52,87,0,0,0
8,52,369,0,0,0
8,52,1310,5,3,2
8,52,525,5,4,1
8,52,597,3,2,1
8,52,91,0,0,0
8,52,220,0,0,0
8,52,229,7,2,5
8,52,518,6,2,4
8,52,261,10,5,5
8,53,601,2,1,1
8,53,648,1,1,0
8,53,1001,0,0,0
8,53,311,3,1,2
8,53,583,1,0,1
8,53,394,4,0,4
8,53,532,3,1,2
8,53,637,74,42,32
8,53,436,0,0,0
8,54,459,0,0,0
8,54,1628,12,7,5
8,54,4261,10,4,6
8,54,147,0,0,0
8,54,144,0,0,0
8,54,371,1,0,1
8,54,147,2,0,2
8,54,238,0,0,0
8,54,92,0,0,0
8,55,2427,112,57,55
8,55,741,103,47,56
8,55,748,2,0,2
8,55,2041,23,12,11
8,55,316,0,0,0
8,55,883,3,2,1
8,55,860,3,2,1
8,55,494,7,4,3
8,55,1176,3,1,2
8,55,1591,92,47,45
8,55,411,1,0,1
8,55,384,0,0,0
8,55,802,9,5,4
8,55,2252,7,3,4
8,55,706,0,0,0
8,55,986,1,0,1
8,56,752,1,1,0
8,56,649,3,1,2
8,56,212,0,0,0
8,56,478,0,0,0
8,57,608,0,0,0
8,57,736,1,0,1
8,57,81,0,0,0
8,57,362,2,0,2
8,57,74,1,1,0
8,57,235,1,0,1
8,57,151,0,0,0
8,58,602,0,0,0
8,58,555,1,0,1
8,58,649,1,1,0
8,58,329,1,0,1
8,58,127,0,0,0
8,58,365,0,0,0
8,58,104,0,0,0
8,59,1357,1,1,0
8,59,31,0,0,0
8,59,412,1,0,1
8,59,549,0,0,0
8,59,358,0,0,0
8,59,576,1,1,0
8,59,199,0,0,0
8,59,203,0,0,0
8,59,478,6,3,3
8,59,602,5,2,3
8,59,160,0,0,0
8,60,616,5,2,3
8,60,409,5,2,3
8,60,186,3,1,2
8,60,117,0,0,0
8,60,539,2,0,2
8,60,552,4,3,1
8,60,363,0,0,0
8,60,596,17,9,8
8,60,289,0,0,0
8,60,1805,2,1,1
8,60,562,1,0,1
8,60,315,24,12,12
8,60,595,96,49,47
8,60,1241,2,2,0
8,60,567,4,2,2
8,60,622,0,0,0
8,60,268,7,2,5
8,60,1423,5,2,3
8,60,286,3,0,3
8,60,204,13,5,8
8,61,279,0,0,0
8,61,428,0,0,0
8,61,229,0,0,0
8,61,197,0,0,0
8,61,96,0,0,0
8,61,391,0,0,0
8,61,183,0,0,0
8,61,382,0,0,0
8,61,178,0,0,0
8,61,228,0,0,0
8,61,119,0,0,0
8,61,561,0,0,0
8,61,164,0,0,0
8,62,1433,7,5,2
8,62,774,1,0,1
8,62,372,3,2,1
8,62,459,3,3,0
8,62,544,2,0,2
8,62,1009,10,7,3
8,62,216,0,0,0
8,62,1692,4,2,2
8,62,644,1,0,1
8,62,1484,9,7,2
8,62,1787,3,1,2
8,62,568,3,2,1
8,62,1965,3,1,2
8,62,962,5,4,1
8,62,207,0,0,0
8,62,724,2,0,2
8,62,484,0,0,0
8,62,869,2,2,0
8,62,1444,6,2,4
8,62,587,5,2,3
8,62,624,0,0,0
8,62,905,2,1,1
8,62,1315,1,0,1
8,62,929,1,0,1
8,62,906,7,3,4
8,62,840,13,6,7
8,62,1961,1,0,1
8,62,1308,4,1,3
8,62,567,1,0,1
8,62,501,2,0,2
8,62,374,0,0,0
8,62,1402,0,0,0
8,63,79,0,0,0
8,63,1418,2,1,1
8,63,256,3,3,0
8,63,148,0,0,0
8,63,180,4,2,2
8,63,509,1,0,1
8,63,140,0,0,0
8,63,395,0,0,0
8,63,262,1,0,1
8,63,215,3,0,3
8,63,125,1,0,1
8,63,1161,3,2,1
8,63,385,4,2,2
8,64,380,2,0,2
8,64,301,2,1,1
8,64,339,1,1,0
8,64,74,0,0,0
8,64,229,0,0,0
8,64,65,0,0,0
8,64,77,0,0,0
8,65,1344,2,1,1
8,65,169,0,0,0
8,65,882,0,0,0
8,65,2121,17,8,9
8,65,565,111,65,46
8,65,843,2,2,0
8,65,457,0,0,0
8,65,123,0,0,0
8,65,1193,2,1,1
8,65,492,1,0,1
8,65,966,0,0,0
8,65,1652,2,0,2
8,65,235,1,0,1
8,65,710,0,0,0
8,65,2186,6,5,1
8,65,429,1,0,1
8,66,1214,1,1,0
8,66,822,98,52,46
8,66,347,0,0,0
8,66,490,0,0,0
8,66,263,0,0,0
8,66,332,0,0,0
8,66,396,0,0,0
8,66,524,0,0,0
8,66,198,0,0,0
8,66,50,0,0,0
8,66,442,1,0,1
8,67,1424,7,5,2
8,67,989,4,1,3
8,67,175,2,0,2
8,67,100,0,0,0
8,67,191,0,0,0
8,67,205,0,0,0
8,67,116,1,0,1
8,67,574,0,0,0
8,67,159,0,0,0
8,67,94,0,0,0
8,67,517,0,0,0
8,67,234,1,0,1
8,37,12183,190,103,87
8,37,1415,37,18,19
8,37,4026,217,104,113
8,37,1814,22,17,5
8,37,1083,8,4,4
8,37,1000,7,4,3
8,37,1800,20,12,8
8,37,1224,10,3,7
8,37,1667,8,3,5
8,37,1674,17,9,8
8,37,568,2,0,2
8,37,1351,22,11,11
8,37,1281,6,1,5
8,37,944,24,6,18
8,37,1890,12,7,5
8,37,1503,1,1,0
8,37,1116,604,292,312
8,37,1082,176,94,82
8,37,1398,64,33,31
8,37,1030,12,5,7
8,37,1580,25,12,13
8,37,998,26,14,12
8,37,1990,45,18,27
8,37,3643,217,108,109
8,37,1021,19,8,11
8,37,1726,4,3,1
8,37,1243,0,0,0
8,37,1103,1,0,1
8,37,1267,11,6,5
8,37,1491,4,2,2
8,37,1382,6,2,4
8,37,1400,10,7,3
8,37,1157,1,1,0
8,37,1101,7,3,4
8,37,1048,46,28,18
8,37,1221,33,21,12
8,37,939,3,1,2
8,37,1295,11,5,6
8,37,1278,29,17,12
8,37,951,53,26,27
8,37,1220,49,24,25
8,37,3076,29,13,16
8,37,813,2,1,1
8,37,1112,3,2,1
8,37,1557,5,3,2
8,37,1198,3,1,2
8,37,958,11,9,2
8,37,1087,11,6,5
8,37,1517,21,9,12
8,37,2406,92,47,45
8,37,2967,25,12,13
8,37,537,12,5,7
8,37,1997,6,3,3
8,37,1365,16,7,9
8,37,1164,13,9,4
8,37,1516,7,6,1
8,37,1709,19,9,10
8,37,1565,12,5,7
8,37,1672,24,12,12
8,37,1312,41,18,23
8,37,1401,26,13,13
8,37,1214,32,11,21
8,37,1193,16,10,6
8,37,1486,26,13,13
8,37,2577,10,4,6
8,37,1211,20,12,8
8,37,1018,16,8,8
8,37,1727,77,44,33
8,37,1293,1,1,0
8,37,1251,3,1,2
8,37,7591,231,125,106
8,37,11204,404,195,209
8,37,1543,5,2,3
8,37,2313,11,9,2
8,37,2193,3,2,1
8,37,1549,9,4,5
8,37,1619,6,3,3
8,37,1389,11,6,5
8,37,1513,3,0,3
8,37,1908,9,6,3
8,37,1626,38,20,18
8,37,535,2,1,1
8,37,1553,3,0,3
8,37,1342,0,0,0
8,37,2307,2,0,2
8,37,2736,29,16,13
8,37,1952,28,11,17
8,37,826,227,109,118
8,37,1391,278,148,130
8,37,944,92,37,55
8,37,1002,265,139,126
8,37,1523,12,3,9
8,37,1395,3,1,2
8,37,1431,8,5,3
8,37,1360,22,9,13
8,37,1178,6,0,6
8,37,1405,26,12,14
8,37,1221,27,14,13
8,37,1385,7,3,4
8,37,3322,17,7,10
8,37,13127,204,93,111
8,37,853,15,10,5
8,37,1263,10,4,6
8,37,3157,56,26,30
8,37,21238,315,150,165
8,37,1043,9,4,5
8,37,1170,0,0,0
8,37,3772,117,68,49
8,37,3249,37,21,16
8,37,1237,7,3,4
8,37,18750,1656,849,807
8,37,997,2,0,2
8,37,14171,125,59,66
8,37,1577,10,5,5
8,37,1227,1,1,0
8,37,2148,11,5,6
8,37,1938,12,2,10
8,37,1489,21,9,12
8,37,3080,26,12,14
8,37,1228,37,23,14
8,37,3235,168,84,84
8,37,2698,16,5,11
8,37,675,15,6,9
8,37,1155,1,0,1
8,37,1173,1,1,0
8,37,609,0,0,0
8,37,553,14,8,6
8,37,559,79,42,37
8,37,855,14,10,4
8,37,1517,13,5,8
8,37,3100,43,20,23
8,37,1379,19,8,11
8,19,6780,104,52,52
8,19,1183,28,12,16
8,19,638,6,3,3
8,19,1246,17,6,11
8,19,6132,171,84,87
8,19,2017,46,10,36
8,19,1172,1,1,0
8,19,952,1,1,0
8,19,940,4,2,2
8,19,1184,71,41,30
8,19,1083,23,8,15
8,19,1229,1,0,1
8,19,1173,4,2,2
8,19,1014,14,8,6
8,19,2625,11,4,7
8,19,1566,5,3,2
8,19,1347,12,7,5
8,19,811,5,3,2
8,19,1274,8,4,4
8,19,633,4,3,1
8,19,1031,20,7,13
8,19,1070,7,4,3
8,19,860,2,0,2
8,19,1236,4,1,3
8,19,1200,24,12,12
8,19,1347,22,12,10
8,19,1372,0,0,0
8,19,1269,0,0,0
8,19,1136,2,1,1
8,19,1123,6,2,4
8,19,1333,11,3,8
8,19,1250,1,0,1
8,19,1140,8,3,5
8,19,1057,49,21,28
8,19,1003,18,7,11
8,19,843,1,1,0
8,19,1145,0,0,0
8,19,781,0,0,0
8,19,1222,6,3,3
8,19,1094,23,9,14
8,19,1192,8,5,3
8,19,1043,4,2,2
8,19,974,0,0,0
8,19,976,0,0,0
8,19,1018,5,2,3
8,19,1016,5,4,1
8,19,1018,7,2,5
8,19,1063,0,0,0
8,19,1148,11,3,8
8,19,1037,7,3,4
8,19,1078,9,6,3
8,19,1166,10,6,4
8,19,1144,8,6,2
8,19,952,2,2,0
8,19,1219,12,8,4
8,19,1218,20,8,12
8,19,1134,19,10,9
8,19,1080,19,9,10
8,19,1125,1,0,1
8,37,831,71,40,31
8,37,831,3,0,3
8,37,661,9,5,4
8,37,1067,3,0,3
8,37,1008,5,1,4
8,37,1159,8,3,5
8,37,1088,24,8,16
8,37,1083,10,6,4
8,37,928,17,5,12
8,37,1187,4,1,3
8,37,947,9,2,7
8,37,729,9,4,5
8,37,1996,22,10,12
8,37,2631,30,16,14
8,37,2224,24,12,12
8,37,2463,23,7,16
8,37,1579,74,39,35
8,37,1008,0,0,0
8,37,646,2,1,1
8,37,844,0,0,0
8,37,663,89,39,50
8,37,4764,23,12,11
8,37,657,56,22,34
8,37,1180,8,3,5
8,37,882,1,0,1
8,37,1101,9,4,5
8,37,3491,43,25,18
8,37,12325,419,212,207
8,37,1910,49,20,29
8,37,700,3,2,1
8,37,729,2,0,2
8,37,933,9,7,2
8,37,594,0,0,0
8,37,947,38,18,20
8,37,3443,117,55,62
8,37,749,38,19,19
8,37,1324,5,0,5
8,37,155,1,1,0
8,37,1288,15,7,8
8,37,375,2,0,2
8,37,522,2,0,2
8,37,1765,4,1,3
8,37,951,5,1,4
8,37,844,9,4,5
8,37,597,0,0,0
8,37,960,11,2,9
8,37,499,4,2,2
8,37,574,14,8,6
8,37,483,1,0,1
8,37,223,3,0,3
8,37,814,1,0,1
8,37,1058,14,7,7
8,37,516,18,8,10
8,37,448,6,3,3
8,37,741,30,17,13
8,37,807,11,5,6
8,37,1289,53,32,21
8,37,344,14,6,8
8,37,220,0,0,0
8,37,1471,10,6,4
8,37,227,5,3,2
8,37,335,4,2,2
8,37,1684,16,8,8
8,37,554,18,11,7
8,37,701,4,2,2
8,37,179,12,7,5
8,37,217,10,5,5
8,37,704,5,4,1
8,37,6533,53,22,31
8,37,470,1,1,0
8,37,1169,21,11,10
8,37,12558,479,226,253
8,37,685,2,0,2
8,37,5101,17,7,10
8,37,1033,3,2,1
8,37,544,6,2,4
8,37,967,4,2,2
8,37,990,3,2,1
8,37,476,2,0,2
8,37,503,1,1,0
8,37,21233,172,82,90
8,37,1047,2,1,1
8,37,90,0,0,0
8,37,1171,0,0,0
8,37,112,0,0,0
8,37,1057,6,3,3
8,37,1245,20,9,11
8,37,1212,4,1,3
8,37,1309,10,5,5
8,37,995,14,4,10
8,37,338,8,7,1
8,37,126,0,0,0
8,37,2223,90,40,50
8,37,515,0,0,0
8,37,778,0,0,0
8,37,3360,20,10,10
8,37,562,0,0,0
8,37,714,0,0,0
8,37,604,11,7,4
8,37,466,2,0,2
8,37,478,7,5,2
8,37,5072,197,99,98
8,37,592,6,3,3
8,37,752,1,1,0
8,37,729,4,2,2
8,37,758,10,6,4
8,37,378,3,1,2
8,37,1673,6,3,3
8,37,687,2,2,0
8,37,534,1,1,0
8,37,528,4,2,2
8,37,946,5,1,4
8,37,889,2,0,2
8,37,1167,15,7,8
8,37,830,24,13,11
8,37,3266,15,6,9
8,37,649,23,13,10
8,37,541,1,0,1
8,37,7977,243,120,123
8,37,644,4,1,3
8,37,611,13,8,5
8,37,455,7,4,3
8,37,888,22,11,11
8,37,912,66,28,38
8,37,1237,2,2,0
8,37,929,24,12,12
8,37,433,2,2,0
8,37,176,0,0,0
8,37,544,14,5,9
8,37,1114,41,21,20
8,37,723,18,8,10
8,37,163,0,0,0
8,37,299,22,10,12
8,37,285,9,3,6
8,37,537,3,3,0
8,37,510,0,0,0
8,37,178,6,3,3
8,37,219,0,0,0
8,37,467,7,3,4
8,37,511,3,2,1
8,37,318,8,2,6
8,37,579,35,14,21
8,37,440,21,14,7
8,37,532,12,8,4
8,37,515,30,16,14
8,37,429,11,5,6
8,37,424,10,6,4
8,37,510,13,8,5
8,37,418,0,0,0
8,37,480,0,0,0
8,37,518,4,3,1
8,37,359,0,0,0
8,37,316,0,0,0
8,37,307,1,0,1
8,37,398,3,2,1
8,37,469,4,3,1
8,37,328,1,0,1
8,37,558,0,0,0
8,37,230,1,1,0
8,37,440,1,1,0
8,37,428,0,0,0
8,37,510,7,1,6
8,37,537,3,0,3
8,37,502,13,6,7
8,37,418,0,0,0
8,37,558,0,0,0
8,37,729,2,2,0
8,37,427,0,0,0
8,37,392,5,2,3
8,37,546,1,1,0
8,37,343,2,1,1
8,37,477,4,3,1
8,37,402,4,2,2
8,37,615,1,0,1
8,37,504,3,2,1
8,37,895,13,9,4
8,37,774,8,5,3
8,37,517,3,1,2
8,37,571,3,1,2
8,37,634,4,2,2
8,37,628,2,1,1
8,37,637,0,0,0
8,37,921,31,14,17
8,37,393,0,0,0
8,37,882,51,24,27
8,37,620,0,0,0
8,37,531,1,0,1
8,37,706,3,3,0
8,37,176,0,0,0
8,37,382,11,3,8
8,37,264,1,0,1
8,37,253,1,1,0
8,37,290,18,9,9
8,37,574,29,17,12
8,37,604,56,28,28
8,37,344,3,1,2
8,37,438,76,41,35
8,37,524,144,70,74
8,37,812,2,0,2
8,37,894,4,2,2
8,37,794,14,8,6
8,37,846,0,0,0
8,37,1088,3,1,2
8,37,1505,10,4,6
8,37,969,2,2,0
8,37,965,15,6,9
8,37,1122,7,4,3
8,37,1300,70,38,32
8,37,1633,6,3,3
8,37,1459,42,21,21
8,37,1533,7,3,4
8,37,1530,10,4,6
8,37,1437,149,74,75
8,37,882,10,3,7
8,37,1121,1,1,0
8,37,1542,15,7,8
8,37,2217,33,16,17
8,37,1568,1,0,1
8,37,242,0,0,0
8,37,834,340,139,201
8,37,767,0,0,0
8,37,783,24,11,13
8,37,878,13,3,10
8,37,262,2,0,2
8,37,337,0,0,0
8,37,929,0,0,0
8,37,585,0,0,0
8,37,1050,7,2,5
8,37,914,2,1,1
8,37,933,12,7,5
8,37,792,2,1,1
8,37,2206,6,2,4
8,37,754,0,0,0
8,37,751,8,1,7
8,37,548,6,3,3
8,37,655,1,1,0
8,37,1354,24,12,12
8,37,797,3,3,0
8,37,487,0,0,0
8,37,885,3,1,2
8,37,66,0,0,0
8,37,2656,32,14,18
8,37,363,1,1,0
8,37,1165,8,3,5
8,37,914,19,10,9
8,37,1202,1,0,1
8,37,1347,15,5,10
8,37,1538,14,8,6
8,37,779,0,0,0
8,37,1313,12,7,5
8,37,2225,196,72,124
8,37,1198,11,6,5
8,37,1421,7,4,3
8,37,1428,3,1,2
8,37,1247,1,1,0
8,37,1152,20,8,12
8,37,1277,21,13,8
8,37,1190,27,15,12
8,37,1164,4,2,2
8,37,1058,3,2,1
8,37,1044,34,20,14
8,37,929,0,0,0
8,37,1148,20,9,11
8,37,1212,38,19,19
8,37,1387,94,40,54
8,37,1429,114,55,59
8,37,1146,2,2,0
8,37,1082,10,5,5
8,37,1334,9,4,5
8,37,1362,8,2,6
8,37,1366,17,9,8
8,37,1399,27,12,15
8,37,1766,210,106,104
8,37,1455,272,132,140
8,19,4773,133,62,71
8,19,3505,20,11,9
8,19,5245,227,112,115
8,19,1463,21,9,12
8,19,959,6,3,3
8,19,1309,28,11,17
8,19,1523,33,19,14
8,19,445,19,9,10
8,19,605,9,4,5
8,19,632,31,18,13
8,19,1094,18,8,10
8,19,906,11,6,5
8,19,494,18,7,11
8,19,668,2,1,1
8,19,769,12,4,8
8,19,1274,18,7,11
8,19,954,52,22,30
8,19,1185,13,5,8
8,19,774,22,10,12
8,19,1976,11,7,4
8,19,419,8,4,4
8,19,1115,0,0,0
8,19,473,5,1,4
8,19,1279,2,1,1
8,19,422,0,0,0
8,19,584,0,0,0
8,19,936,6,4,2
8,19,833,9,5,4
8,19,884,2,1,1
8,19,1526,72,29,43
8,19,1456,7,4,3
8,19,1329,1,0,1
8,19,1038,7,3,4
8,19,814,29,13,16
8,19,1018,74,35,39
8,19,1059,33,19,14
8,19,1208,14,6,8
8,19,2013,10,4,6
8,19,17836,623,307,316
8,19,763,5,4,1
8,19,651,5,2,3
8,2,4033,18,10,8
8,19,531,2,2,0
8,19,1136,5,3,2
8,19,5476,113,59,54
8,19,1083,26,10,16
8,19,2015,17,8,9
8,19,1209,15,5,10
8,19,6281,186,97,89
8,19,470,3,2,1
8,19,860,10,4,6
8,19,1479,10,4,6
8,19,1072,29,14,15
8,19,1073,1,0,1
8,19,1049,4,1,3
8,19,881,11,4,7
8,19,2946,37,22,15
8,19,3836,22,11,11
8,19,1229,7,2,5
8,19,1359,24,14,10
8,19,1281,11,4,7
8,19,1133,8,5,3
8,19,2109,18,8,10
8,19,1229,73,35,38
8,19,1308,4,1,3
8,19,1292,4,3,1
8,19,1815,12,4,8
8,19,1147,25,12,13
8,19,837,12,6,6
8,19,1170,8,6,2
8,19,970,11,9,2
8,19,1101,8,4,4
8,19,1171,9,6,3
8,19,1095,1,1,0
8,19,979,5,2,3
8,19,672,4,2,2
8,19,1195,1,1,0
8,19,1988,104,57,47
8,19,840,17,8,9
8,19,933,25,13,12
8,19,1419,26,11,15
8,19,1489,591,294,297
8,19,1347,46,21,25
8,19,1628,354,164,190
8,19,975,128,67,61
8,19,1456,384,192,192
8,19,1059,8,5,3
8,19,1138,3,1,2
8,19,2308,74,30,44
8,19,4434,24,12,12
8,19,2701,26,15,11
8,19,1261,21,10,11
8,19,3325,10,5,5
8,19,3446,26,15,11
8,19,3791,36,21,15
8,19,2095,99,55,44
8,19,1921,27,17,10
8,19,1891,12,7,5
8,19,2374,9,4,5
8,19,2167,17,5,12
8,19,2086,11,3,8
8,19,2157,6,1,5
8,19,4329,61,32,29
8,19,1918,1,1,0
8,19,1040,1,0,1
8,21,1927,20,8,12
8,21,3147,5,1,4
8,21,3912,113,59,54
8,19,3468,22,12,10
8,19,2911,128,65,63
8,19,1268,17,6,11
8,19,1123,9,5,4
8,19,1028,8,4,4
8,19,3472,95,49,46
8,19,1526,2,0,2
8,19,2240,11,5,6
8,19,753,7,4,3
8,19,3662,31,14,17
8,19,2514,25,18,7
8,19,1895,11,5,6
8,19,3304,133,69,64
8,19,2887,14,6,8
8,19,2043,8,6,2
8,19,4055,28,11,17
8,19,1933,8,2,6
8,19,2318,13,5,8
8,19,1831,15,7,8
8,19,1570,19,12,7
8,19,4825,113,68,45
9,2,872,36,19,17
9,2,1085,26,13,13
9,2,1186,6,1,5
9,2,1139,14,9,5
9,2,1169,34,19,15
9,2,947,16,11,5
9,2,858,3,3,0
9,2,1340,6,1,5
9,2,953,35,18,17
9,2,3905,55,28,27
9,2,700,11,5,6
9,2,699,19,8,11
9,2,959,238,134,104
9,2,763,17,11,6
9,2,785,17,9,8
9,2,1078,32,18,14
9,2,847,41,22,19
9,2,899,4,1,3
9,2,924,5,1,4
9,2,791,1,0,1
9,2,1251,5,0,5
9,2,1079,32,18,14
9,2,778,3,2,1
9,2,819,50,24,26
9,2,719,16,5,11
9,2,811,6,3,3
9,2,952,6,3,3
9,2,5928,103,48,55
9,2,946,34,18,16
9,2,2735,78,41,37
9,2,1017,14,6,8
9,2,869,21,11,10
9,2,771,17,11,6
9,2,685,18,9,9
9,2,823,28,16,12
9,2,934,55,25,30
9,2,724,150,77,73
9,2,716,70,31,39
9,2,1132,69,38,31
9,2,761,41,23,18
9,2,847,17,9,8
9,2,826,34,20,14
9,2,1217,77,38,39
9,2,846,73,43,30
9,2,901,12,4,8
9,2,631,52,28,24
9,2,948,102,54,48
9,2,1319,32,18,14
9,2,949,43,22,21
9,2,1097,25,13,12
9,2,1230,15,8,7
9,2,946,12,7,5
9,2,879,15,6,9
9,2,1220,39,18,21
9,2,1014,19,11,8
9,2,5470,106,66,40
9,2,1312,17,7,10
9,2,1685,82,42,40
9,2,1395,22,10,12
9,2,1553,32,19,13
9,2,1580,21,8,13
9,2,1137,8,5,3
